No.,Time,Source,Destination,Length,Protocol,TCP Delta,Sequence Number,TCP Segment Len,ACK,Calculated window size,Bytes in flight,Info,Phase
100,1.073166,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,124138,1460,1,262144,32120,52343  >  5201[BoundErrorUnreassembled Packet],
101,1.073167,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,125598,1460,1,262144,33580,52343  >  5201[BoundErrorUnreassembled Packet],
102,1.073168,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,127058,1460,1,262144,35040,52343  >  5201[BoundErrorUnreassembled Packet],
103,1.073169,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,128518,1460,1,262144,36500,52343  >  5201[BoundErrorUnreassembled Packet],
104,1.074699,192.168.10.196,192.168.10.184,54,TCP,0.00153,1,0,109538,212992,,5201  >  52343 [ACK] Seq=1 Ack=109538 Win=212992 Len=0,
105,1.074839,192.168.10.184,192.168.10.196,1514,iPerf3,0.00014,129978,1460,1,262144,21900,52343  >  5201[BoundErrorUnreassembled Packet],
106,1.07484,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,131438,1460,1,262144,23360,52343  >  5201[BoundErrorUnreassembled Packet],
107,1.074841,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,132898,1460,1,262144,24820,52343  >  5201[BoundErrorUnreassembled Packet],
108,1.074842,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,134358,1460,1,262144,26280,52343  >  5201[BoundErrorUnreassembled Packet],
109,1.074843,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,135818,1460,1,262144,27740,52343  >  5201[BoundErrorUnreassembled Packet],
110,1.074844,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,137278,1460,1,262144,29200,52343  >  5201[BoundErrorUnreassembled Packet],
111,1.074845,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,138738,1460,1,262144,30660,52343  >  5201[BoundErrorUnreassembled Packet],
112,1.074846,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,140198,1460,1,262144,32120,52343  >  5201[BoundErrorUnreassembled Packet],
113,1.074847,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,141658,1460,1,262144,33580,52343  >  5201[BoundErrorUnreassembled Packet],
114,1.074848,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,143118,1460,1,262144,35040,52343  >  5201[BoundErrorUnreassembled Packet],
115,1.074848,192.168.10.184,192.168.10.196,1514,iPerf3,0,144578,1460,1,262144,36500,52343  >  5201[BoundErrorUnreassembled Packet],
116,1.07485,192.168.10.184,192.168.10.196,1514,iPerf3,0.000002,146038,1460,1,262144,37960,52343  >  5201[BoundErrorUnreassembled Packet],
117,1.074851,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,147498,1460,1,262144,39420,52343  >  5201[BoundErrorUnreassembled Packet],
118,1.076119,192.168.10.196,192.168.10.184,54,TCP,0.001268,1,0,118298,212992,,5201  >  52343 [ACK] Seq=1 Ack=118298 Win=212992 Len=0,
119,1.076243,192.168.10.184,192.168.10.196,1514,iPerf3,0.000124,148958,1460,1,262144,32120,52343  >  5201[BoundErrorUnreassembled Packet],
120,1.076245,192.168.10.184,192.168.10.196,1514,iPerf3,0.000002,150418,1460,1,262144,33580,52343  >  5201[BoundErrorUnreassembled Packet],
121,1.076246,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,151878,1460,1,262144,35040,52343  >  5201[BoundErrorUnreassembled Packet],
122,1.076247,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,153338,1460,1,262144,36500,52343  >  5201[BoundErrorUnreassembled Packet],
123,1.076248,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,154798,1460,1,262144,37960,52343  >  5201[BoundErrorUnreassembled Packet],
124,1.076248,192.168.10.184,192.168.10.196,1514,iPerf3,0,156258,1460,1,262144,39420,52343  >  5201[BoundErrorUnreassembled Packet],
125,1.076249,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,157718,1460,1,262144,40880,52343  >  5201[BoundErrorUnreassembled Packet],
126,1.07625,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,159178,1460,1,262144,42340,52343  >  5201[BoundErrorUnreassembled Packet],
127,1.076762,192.168.10.196,192.168.10.184,54,TCP,0.000512,1,0,121218,212992,,5201  >  52343 [ACK] Seq=1 Ack=121218 Win=212992 Len=0,
128,1.076873,192.168.10.184,192.168.10.196,1514,iPerf3,0.000111,160638,1460,1,262144,40880,52343  >  5201[BoundErrorUnreassembled Packet],
129,1.076875,192.168.10.184,192.168.10.196,1514,iPerf3,0.000002,162098,1460,1,262144,42340,52343  >  5201[BoundErrorUnreassembled Packet],
130,1.076876,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,163558,1460,1,262144,43800,52343  >  5201[BoundErrorUnreassembled Packet],
131,1.076877,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,165018,1460,1,262144,45260,52343  >  5201[BoundErrorUnreassembled Packet],
132,1.19913,192.168.10.196,192.168.10.184,54,TCP,0.122253,1,0,129978,212992,,5201  >  52343 [ACK] Seq=1 Ack=129978 Win=212992 Len=0,
133,1.199261,192.168.10.184,192.168.10.196,1514,iPerf3,0.000131,166478,1460,1,262144,37960,52343  >  5201[BoundErrorUnreassembled Packet],
134,1.199262,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,167938,1460,1,262144,39420,52343  >  5201[BoundErrorUnreassembled Packet],
135,1.199262,192.168.10.184,192.168.10.196,1514,iPerf3,0,169398,1460,1,262144,40880,52343  >  5201[BoundErrorUnreassembled Packet],
136,1.199263,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,170858,1460,1,262144,42340,52343  >  5201[BoundErrorUnreassembled Packet],
137,1.199264,192.168.10.184,192.168.10.196,1514,iPerf3,0.000001,172318,1460,1,262144,43800,52343  >  5201[BoundErrorUnreassembled Packet],
